index	value
1	3159640283
2	4062961311
3	3954462607
4	3112783424
5	2849714703
6	731821095
7	2232873578
8	1251953424
9	3917199038
10	231030171
11	268845362
12	2344188614
13	1849447265
14	2383103214
15	2227731755
16	1714639421
17	1491439037
18	462325566
19	5081481
20	737186849
21	236395034
22	2597008984
23	1186503577
24	323074832
25	2742705513
26	2905742929
27	4282737114
28	279690169
29	2839941402
30	3748828822
31	1960715752
32	1397597709
33	97709789
34	4061626963
35	1748187571
36	838075742
37	431451195
38	669402733
39	3800374824
40	2463558175
41	2497634970
42	1432010274
43	864206586
44	4221510350
45	3741544462
46	1605184079
47	2065133301
48	323705460
49	1498334197
50	2929517430
51	30068983
52	697933991
53	2032582936
54	1565495315
55	3975903569
56	4234264466
57	1259089262
58	841438213
59	1033753396
60	2075600832
61	1439692898
62	3048143437
63	2116421738
64	2121241975
65	2000428495
66	4014801032
67	1182308890
68	4073340907
69	2773901005
70	1601777393
71	226358519
72	2710230203
73	3836472902
74	3661295235
75	677550283
76	2218257251
77	1923991186
78	2950234957
79	4002190714
80	2076424717
81	3105673997
82	2394639421
83	896257070
84	3238931578
85	62082322
86	494537328
87	2043416199
88	787575094
89	2605813927
90	2115591795
91	11224405
92	2902448101
93	2261503360
94	3052447400
95	3620256625
96	3332372058
97	1080087166
98	2354185085
99	3971176574
100	2223492789
101	3526720920
102	1653571981
103	1237715107
104	2855148114
105	1215640057
106	1271033666
107	1075167450
108	2529642963
109	1406662882
110	983280893
111	3857294656
112	2272530143
113	818487970
114	760306780
115	3255479487
116	1305133728
117	1905128186
118	1290154109
119	707231075
120	4116935559
121	3786028941
122	2361715072
123	624210629
124	3772314933
125	1296868555
126	1022565936
127	979540335
128	3540774987
129	2571392233
130	2144617529
131	2227757723
132	2729723873
133	1724766228
134	2087484879
135	2126700749
136	2193874180
137	4223166951
138	363383678
139	2565912385
140	1876961531
141	2956195119
142	49270863
143	2235594426
144	4043263784
145	71647112
146	3674855738
147	2897294608
148	47092398
149	314637627
